                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8488,                 2.5384,                 2.0012,                0.44014,                0.35783,                0.33286,                0.13625,                 2.0586,                 2.3828,                 2.2999,             0.00047524,             0.00047524,             0.00047524
                      2,                 1.7285,                 2.0052,                 1.8976,                0.46781,                0.41592,                0.40879,                0.16463,                 2.0803,                 2.2889,                 2.2602,             0.00048054,             0.00048054,             0.00048054
